Scenario;Object Type;Object Name;Data Source;Category;Data Item;Statistic Type;Average;Minimum;Maximum;Half Width;Standard Deviation
Scenario1;Bridgepath;bridge_N1_LRP008A_LRP008B;[Travelers];Content;NumberOnLink;Average;0,260363539069394;0,260363539069394;0,260363539069394;4,18554080283684E-17;5,8513891142945E-17
Scenario1;Bridgepath;bridge_N1_LRP008A_LRP008B;[Travelers];Content;NumberOnLink;Maximum;1;1;1;0;0
Scenario1;Bridgepath;bridge_N1_LRP008A_LRP008B;[Travelers];Content;NumberOnLink;Minimum;0;0;0;0;0
Scenario1;Bridgepath;bridge_N1_LRP008A_LRP008B;[Travelers];FlowTime;TimeOnLink;Average (Minutes);1,30355054332371;1,30355054332371;1,30355054332371;1,56957780106382E-16;2,19427091786044E-16
Scenario1;Bridgepath;bridge_N1_LRP008A_LRP008B;[Travelers];FlowTime;TimeOnLink;Maximum (Minutes);1,30355054332398;1,30355054332398;1,30355054332398;0;0
Scenario1;Bridgepath;bridge_N1_LRP008A_LRP008B;[Travelers];FlowTime;TimeOnLink;Minimum (Minutes);1,30355054332334;1,30355054332334;1,30355054332334;0;0
Scenario1;Bridgepath;bridge_N1_LRP008A_LRP008B;[Travelers];Throughput;NumberEntered;Total;1439;1439;1439;0;0
Scenario1;Bridgepath;bridge_N1_LRP008A_LRP008B;[Travelers];Throughput;NumberExited;Total;1438;1438;1438;0;0
Scenario1;Bridgepath;bridge_N1_LRP012A_LRP012B;[Travelers];Content;NumberOnLink;Average;0,163199167466117;0,163199167466117;0,163199167466117;2,09277040141842E-17;2,92569455714725E-17
Scenario1;Bridgepath;bridge_N1_LRP012A_LRP012B;[Travelers];Content;NumberOnLink;Maximum;1;1;1;0;0
Scenario1;Bridgepath;bridge_N1_LRP012A_LRP012B;[Travelers];Content;NumberOnLink;Minimum;0;0;0;0;0
Scenario1;Bridgepath;bridge_N1_LRP012A_LRP012B;[Travelers];FlowTime;TimeOnLink;Average (Minutes);0,817338043323518;0,817338043323518;0,817338043323518;7,84788900531908E-17;1,09713545893022E-16
Scenario1;Bridgepath;bridge_N1_LRP012A_LRP012B;[Travelers];FlowTime;TimeOnLink;Maximum (Minutes);0,81733804332373;0,81733804332373;0,81733804332373;0;0
Scenario1;Bridgepath;bridge_N1_LRP012A_LRP012B;[Travelers];FlowTime;TimeOnLink;Minimum (Minutes);0,817338043323304;0,817338043323304;0,817338043323304;0;0
Scenario1;Bridgepath;bridge_N1_LRP012A_LRP012B;[Travelers];Throughput;NumberEntered;Total;1438;1438;1438;0;0
Scenario1;Bridgepath;bridge_N1_LRP012A_LRP012B;[Travelers];Throughput;NumberExited;Total;1437;1437;1437;0;0
Scenario1;Bridgepath;bridge_N1_LRP016B_LRP016C;[Travelers];Content;NumberOnLink;Average;0,195874497251765;0,195874497251765;0,195874497251765;2,09277040141842E-17;2,92569455714725E-17
Scenario1;Bridgepath;bridge_N1_LRP016B_LRP016C;[Travelers];Content;NumberOnLink;Maximum;1;1;1;0;0
Scenario1;Bridgepath;bridge_N1_LRP016B_LRP016C;[Travelers];Content;NumberOnLink;Minimum;0;0;0;0;0
Scenario1;Bridgepath;bridge_N1_LRP016B_LRP016C;[Travelers];FlowTime;TimeOnLink;Average (Minutes);0,982100543323612;0,982100543323613;0,982100543323613;1,56957780106382E-16;2,19427091786044E-16
Scenario1;Bridgepath;bridge_N1_LRP016B_LRP016C;[Travelers];FlowTime;TimeOnLink;Maximum (Minutes);0,982100543323838;0,982100543323838;0,982100543323838;0;0
Scenario1;Bridgepath;bridge_N1_LRP016B_LRP016C;[Travelers];FlowTime;TimeOnLink;Minimum (Minutes);0,982100543323412;0,982100543323412;0,982100543323412;0;0
Scenario1;Bridgepath;bridge_N1_LRP016B_LRP016C;[Travelers];Throughput;NumberEntered;Total;1436;1436;1436;0;0
Scenario1;Bridgepath;bridge_N1_LRP016B_LRP016C;[Travelers];Throughput;NumberExited;Total;1436;1436;1436;0;0
