,road,LRPName,condition,chainage,nrLanes,heavyTruck,mediumTruck,smallTruck,largeBus,mediumBus,microBus,utility,car,autoRickshaw,motorcycle,bicycle,cycleRickshaw,cart,totalMotorized,totalNonMotorized,total
0,N1,LRP001a,A,1.8,5.0,8.496,95.976,21.608,44.688,11.975999999999999,33.04,5.744,35.672,43.903999999999996,6.672,3.56,15.815999999999999,0.0,307.77599999999995,19.375999999999998,327.152
1,N1,LRP004b,A,4.925,5.0,1.4080000000000001,42.0,33.896,39.568,27.688,25.656,4.896,26.391999999999996,35.384,16.976,1.176,18.704,0.0,253.86400000000003,19.880000000000003,273.744
2,N1,LRP008b,A,8.976,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
3,N1,LRP010a,B,10.543,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
4,N1,LRP010b,A,10.88,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
5,N1,LRP010c,A,10.897,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
6,N1,LRP011a,A,11.296,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
7,N1,LRP011c,B,11.808,8.0,0.638671875,18.328125,13.083984375,12.0625,10.154296875,8.86328125,1.16015625,7.1953125,12.17578125,4.486328125,1.421875,5.09375,0.0,88.1484375,6.515625,94.6640625
8,N1,LRP012a,A,12.239,3.0,12.111111111111112,347.5555555555556,248.11111111111111,228.74074074074073,192.55555555555554,168.07407407407408,22.0,136.44444444444443,230.88888888888889,85.07407407407406,26.962962962962962,96.5925925925926,0.0,1671.5555555555557,123.55555555555556,1795.111111111111
9,N1,LRP012b,A,12.253,3.0,12.111111111111112,347.5555555555556,248.11111111111111,228.74074074074073,192.55555555555554,168.07407407407408,22.0,136.44444444444443,230.88888888888889,85.07407407407406,26.962962962962962,96.5925925925926,0.0,1671.5555555555557,123.55555555555556,1795.111111111111
10,N1,LRP013a,A,12.66,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
11,N1,LRP013b,A,12.688,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
12,N1,LRP014a,A,13.574,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
13,N1,LRP016a,B,15.465,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
14,N1,LRP017b,C,17.134,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
15,N1,LRP018b,A,17.222,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
16,N1,LRP018a,A,17.222,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
17,N1,LRP018c,A,18.093,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
18,N1,LRP018d,B,18.093,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
19,N1,LRP019a,C,18.742,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
20,N1,LRP019b,B,18.742,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
21,N1,LRP020a,A,19.76,4.0,5.109375,146.625,104.671875,96.5,81.234375,70.90625,9.28125,57.5625,97.40625,35.890625,11.375,40.75,0.0,705.1875,52.125,757.3125
22,N1,LRP020b,B,20.397,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
23,N1,LRP021c,A,21.184,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
24,N1,LRP021d,A,21.184,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
25,N1,LRP022a,B,22.328,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
26,N1,LRP023a,A,22.596,6.0,2.7731481481481484,47.745370370370374,9.819444444444445,15.833333333333334,6.527777777777778,15.324074074074074,3.699074074074074,18.97222222222222,11.5,1.962962962962963,0.3148148148148148,1.513888888888889,0.0,134.15740740740742,1.8287037037037035,135.98611111111111
27,N1,LRP023b,B,22.596,6.0,2.7731481481481484,47.745370370370374,9.819444444444445,15.833333333333334,6.527777777777778,15.324074074074074,3.699074074074074,18.97222222222222,11.5,1.962962962962963,0.3148148148148148,1.513888888888889,0.0,134.15740740740742,1.8287037037037035,135.98611111111111
28,N1,LRP023d,A,23.081,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
29,N1,LRP023c,A,23.081,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
30,N1,LRP024a,A,24.393,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
31,N1,LRP026a,A,26.115,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
32,N1,LRP026b,A,26.452,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
33,N1,LRP027a,A,27.12,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
34,N1,LRP028b,A,28.315,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
35,N1,LRP028a,A,28.315,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
36,N1,LRP029a,A,29.138,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
37,N1,LRP029b,A,29.138,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
38,N1,LRP030a,A,29.842,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
39,N1,LRP031a,A,30.908,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
40,N1,LRP032a,A,31.472,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
41,N1,LRP032b,A,31.472,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
42,N1,LRP032d,A,32.121,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
43,N1,LRP032e,A,32.121,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
44,N1,LRP033a,A,32.777,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
45,N1,LRP033b,A,32.796,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
46,N1,LRP034a,A,33.591,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
47,N1,LRP034b,A,33.591,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
48,N1,LRP034c,C,34.111,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
49,N1,LRP035a,A,35.181,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
50,N1,LRP036a,A,35.408,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
51,N1,LRP036b,A,35.408,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
52,N1,LRP036c,A,35.707,4.0,9.359375,161.140625,33.140625,53.4375,22.03125,51.71875,12.484375,64.03125,38.8125,6.625,1.0625,5.109375,0.0,452.78125,6.171875,458.953125
53,N1,LRP037a,A,37.01,5.0,4.792,82.50399999999999,16.968,27.360000000000003,11.28,26.48,6.392,32.784000000000006,19.872,3.3920000000000003,0.5439999999999999,2.6160000000000005,0.0,231.824,3.16,234.984
54,N1,LRP040b,C,39.304,4.0,11.046875,151.765625,27.796875,51.0,18.71875,21.78125,12.421875,33.984375,24.78125,5.15625,1.09375,3.953125,0.0,358.453125,5.046875,363.5
55,N1,LRP040c,B,39.86,4.0,11.046875,151.765625,27.796875,51.0,18.71875,21.78125,12.421875,33.984375,24.78125,5.15625,1.09375,3.953125,0.0,358.453125,5.046875,363.5
56,N1,LRP043a,C,42.936,6.0,3.2731481481481484,44.96759259259259,8.23611111111111,15.111111111111112,5.546296296296297,6.453703703703703,3.6805555555555554,10.069444444444445,7.342592592592592,1.5277777777777777,0.32407407407407407,1.1712962962962963,0.0,106.20833333333333,1.4953703703703705,107.70370370370371
57,N1,LRP046a,C,45.164,6.0,3.2731481481481484,44.96759259259259,8.23611111111111,15.111111111111112,5.546296296296297,6.453703703703703,3.6805555555555554,10.069444444444445,7.342592592592592,1.5277777777777777,0.32407407407407407,1.1712962962962963,0.0,106.20833333333333,1.4953703703703705,107.70370370370371
58,N1,LRP047a,C,46.871,6.0,3.2731481481481484,44.96759259259259,8.23611111111111,15.111111111111112,5.546296296296297,6.453703703703703,3.6805555555555554,10.069444444444445,7.342592592592592,1.5277777777777777,0.32407407407407407,1.1712962962962963,0.0,106.20833333333333,1.4953703703703705,107.70370370370371
59,N1,LRP049a,A,48.384,6.0,3.2731481481481484,44.96759259259259,8.23611111111111,15.111111111111112,5.546296296296297,6.453703703703703,3.6805555555555554,10.069444444444445,7.342592592592592,1.5277777777777777,0.32407407407407407,1.1712962962962963,0.0,106.20833333333333,1.4953703703703705,107.70370370370371
60,N1,LRP051a,A,50.558,6.0,3.2731481481481484,44.96759259259259,8.23611111111111,15.111111111111112,5.546296296296297,6.453703703703703,3.6805555555555554,10.069444444444445,7.342592592592592,1.5277777777777777,0.32407407407407407,1.1712962962962963,0.0,106.20833333333333,1.4953703703703705,107.70370370370371
61,N1,LRP053a,C,52.313,6.0,3.2731481481481484,44.96759259259259,8.23611111111111,15.111111111111112,5.546296296296297,6.453703703703703,3.6805555555555554,10.069444444444445,7.342592592592592,1.5277777777777777,0.32407407407407407,1.1712962962962963,0.0,106.20833333333333,1.4953703703703705,107.70370370370371
62,N1,LRP056a,C,56.006,6.0,3.2731481481481484,44.96759259259259,8.23611111111111,15.111111111111112,5.546296296296297,6.453703703703703,3.6805555555555554,10.069444444444445,7.342592592592592,1.5277777777777777,0.32407407407407407,1.1712962962962963,0.0,106.20833333333333,1.4953703703703705,107.70370370370371
63,N1,LRP059a,B,58.838,6.0,3.2731481481481484,44.96759259259259,8.23611111111111,15.111111111111112,5.546296296296297,6.453703703703703,3.6805555555555554,10.069444444444445,7.342592592592592,1.5277777777777777,0.32407407407407407,1.1712962962962963,0.0,106.20833333333333,1.4953703703703705,107.70370370370371
64,N1,LRP061a,B,60.83,6.0,3.2731481481481484,44.96759259259259,8.23611111111111,15.111111111111112,5.546296296296297,6.453703703703703,3.6805555555555554,10.069444444444445,7.342592592592592,1.5277777777777777,0.32407407407407407,1.1712962962962963,0.0,106.20833333333333,1.4953703703703705,107.70370370370371
65,N1,LRP064a,B,63.098,6.0,3.2731481481481484,44.96759259259259,8.23611111111111,15.111111111111112,5.546296296296297,6.453703703703703,3.6805555555555554,10.069444444444445,7.342592592592592,1.5277777777777777,0.32407407407407407,1.1712962962962963,0.0,106.20833333333333,1.4953703703703705,107.70370370370371
66,N1,LRP064c,A,63.538,6.0,3.2731481481481484,44.96759259259259,8.23611111111111,15.111111111111112,5.546296296296297,6.453703703703703,3.6805555555555554,10.069444444444445,7.342592592592592,1.5277777777777777,0.32407407407407407,1.1712962962962963,0.0,106.20833333333333,1.4953703703703705,107.70370370370371
67,N1,LRP067a,B,66.178,6.0,3.2731481481481484,44.96759259259259,8.23611111111111,15.111111111111112,5.546296296296297,6.453703703703703,3.6805555555555554,10.069444444444445,7.342592592592592,1.5277777777777777,0.32407407407407407,1.1712962962962963,0.0,106.20833333333333,1.4953703703703705,107.70370370370371
