"PathName";"NumberVehicles";"SimulationTime";"AverageTruckWaitingTime";"AverageBusWaitingTime";"AveragePassengerVehicleWaitingTime";"TruckAverageNumberWaiting";"BusAverageNumberWaiting";"PassengerVehicleAverageNumberWaiting"
"RoadPath1";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"bridge_N1_LRP008A_LRP008B";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"N1_LRP008B_LRP012A";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"bridge_N1_LRP012A_LRP012B";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"N1_LRP012B_LRP016B";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"bridge_N1_LRP016B_LRP016C";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"N1_LRP016C_LRP017A";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"bridge_N1_LRP017A_LRP017B";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"N1_LRP017B_LRP017C";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"bridge_N1_LRP017C_LRP017D";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"N1_LRP017D_LRP018A";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"bridge_N1_LRP018A_LRP018B";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"N1_LRP018B_LRP020B";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"bridge_N1_LRP020B_LRP020C";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"N1_LRP020C_LRP022A";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"bridge_N1_LRP022A_LRP022B";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"N1_LRP022B_LRP022C";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"bridge_N1_LRP022C_LRP022D";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"N1_LRP022D_LRP028A";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"bridge_N1_LRP028A_LRP028B";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"N1_LRP028B_LRP029A";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"bridge_N1_LRP029A_LRP029B";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"N1_LRP029B_LRP030A";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"bridge_N1_LRP030A_LRP030B";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"N1_LRP030B_LRP030C";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
"bridge_N1_LRP030C_LRP030D";0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0
