"index";"category";"constructionYear";"lat";"length";"lon";"lrp";"road";"broken"
0;"C";1986;23.70505989;397.0;90.52321415;"LRP008B";"N1";0
1;"A";1986;23.68841233;9.3;90.54855853;"LRP012A";"N1";0
2;"B";2003;23.66330907;5.55;90.56385699;"LRP016A";"N1";0
3;"B";1998;23.65442571;159.5;90.57673023;"LRP017B";"N1";0
4;"C";-1;23.65442571;159.52;90.57673023;"LRP017B";"N1";0
5;"B";2002;23.65157057;20.0;90.58149439;"LRP018A";"N1";0
6;"A";2001;23.63795437;6.0;90.5936674;"LRP020A";"N1";0
7;"B";2002;23.61988322;5.5;90.60835289;"LRP022A";"N1";0
8;"UK";-1;23.6204716;121.9697664;90.6079722;"LRP022C";"N1";0
9;"A";2000;23.57798002;163.5;90.64191931;"LRP028A";"N1";0
10;"A";2004;23.57163063;29.0;90.64541592;"LRP029A";"N1";0
11;"A";1992;23.5660034;34.7;90.64862372;"LRP030A";"N1";0
12;"UK";-1;23.5604167;35.62320504;90.6542222;"LRP030C";"N1";0
13;"A";2004;23.55919103;26.3;90.65574757;"LRP031A";"N1";0
14;"A";2002;23.54773774;9.1;90.66905541;"LRP033A";"N1";0
15;"A";2000;23.53277519;9.5;90.68587011;"LRP035A";"N1";0
16;"UK";-1;23.5315271;26.23620869;90.7173604;"LRP038D";"N1";0
17;"UK";-1;23.5293882;16.9932;90.7514167;"LRP042A";"N1";0
18;"UK";-1;23.5308882;22.87350408;90.8041389;"LRP048A";"N1";0
19;"UK";-1;23.5346663;15.44429617;90.8249716;"LRP050A";"N1";0
20;"B";1985;23.51008776;28.9;90.8757204;"LRP056A";"N1";0
21;"C";1986;23.48688059;23.1;91.01756669;"LRP072A";"N1";0
22;"UK";-1;23.448833;24.37306102;91.1471386;"LRP089A";"N1";0
23;"UK";-1;23.4235827;36.24956032;91.1629722;"LRP093A";"N1";0
24;"UK";-1;23.4131111;26.23359983;91.1846663;"LRP095A";"N1";0
25;"UK";-1;23.40375;27.47258557;91.2176382;"LRP099A";"N1";0
26;"UK";-1;23.3779716;29.96062877;91.2403608;"LRP102A";"N1";0
27;"A";1974;23.34267147;14.3;91.26448564;"LRP105A";"N1";0
28;"UK";-1;23.3360274;42.42843398;91.2700549;"LRP108A";"N1";0
29;"B";1979;23.30836127;19.2;91.2865787;"LRP110A";"N1";0
30;"A";1986;23.29796753;3.2;91.29101414;"LRP111A";"N1";0
31;"B";1984;23.28219493;4.6;91.29666551;"LRP113A";"N1";0
32;"A";1990;23.23607595;2.5;91.3129902;"LRP119A";"N1";0
33;"B";1984;23.17262723;3.1;91.32057746;"LRP126A";"N1";0
34;"B";1984;23.15273649;6.3;91.32431788;"LRP128A";"N1";0
35;"UK";-1;23.0808049;14.97574379;91.3548611;"LRP139B";"N1";0
36;"UK";-1;22.9961941;22.95271775;91.4005;"LRP151A";"N1";0
37;"UK";-1;22.9624167;106.5518648;91.4416941;"LRP156A";"N1";0
38;"UK";-1;22.9496663;204.2094368;91.5007778;"LRP163A";"N1";0
39;"UK";-1;22.9156667;226.753484;91.5259438;"LRP168A";"N1";0
40;"A";1988;22.83096134;4.5;91.55050285;"LRP176A";"N1";0
41;"A";1992;22.75063935;3.0;91.59088404;"LRP187A";"N1";0
42;"A";1992;22.61498997;4.6;91.66026705;"LRP204A";"N1";0
43;"A";1990;22.57679302;10.2;91.68162274;"LRP209A";"N1";0
44;"A";1988;22.57029059;3.0;91.68400967;"LRP210A";"N1";0
45;"A";1986;22.55852109;4.1;91.68750624;"LRP211A";"N1";0
46;"A";1987;22.54677272;3.0;91.69262606;"LRP213A";"N1";0
47;"UK";-1;22.519416;17.26029859;91.7053611;"LRP216A";"N1";0
48;"C";1965;22.51134712;27.0;91.70879079;"LRP217A";"N1";0
50;"A";1989;22.50602204;4.5;91.71128482;"LRP218A";"N1";0
51;"A";1989;22.50008583;17.6;91.71415049;"LRP218B";"N1";0
52;"B";1984;22.4904406;3.0;91.71827267;"LRP219A";"N1";0
53;"A";1988;22.47285309;6.0;91.72326335;"LRP221A";"N1";0
54;"A";1985;22.44886285;3.0;91.73428239;"LRP224A";"N1";0
55;"A";1989;22.43750352;3.0;91.73866595;"LRP226A";"N1";0
56;"UK";-1;22.4307493;39.2875035;91.7415274;"LRP227B";"N1";0
57;"UK";-1;22.4185549;36.66650355;91.7504722;"LRP229A";"N1";0
58;"A";1984;22.39633988;3.0;91.75825516;"LRP231A";"N1";0
59;"A";1951;22.38524588;3.0;91.76250566;"LRP232A";"N1";0
