id,road,linkId,side_of_road,name,start_lrp,start_offset,start_chainage,end_lrp,end_offset,end_chainage,length,heavyTruck,mediumTruck,smallTruck,largeBus,mediumBus,microBus,utility,car,autoRickshaw,motorcycle,bicycle,cycleRickshaw,cart,totalMotorized,totalNonMotorized,total,width_start,width_end,width_length,numberLanes
1,N1,N1-1,Left,Jatrabari - Int.with Z1101 (Left) (Left),LRPS,0,0,LRPS,822,0.822,0.822,402,5842,1147,2842,526,2010,238,1851,2980,398,232,889,0,18236,1121,19357,0,0.13,0.13,8
2,N1,N1-1,Right,Jatrabari - Int.with Z1101 (Left) (Right),LRPS,0,0,LRPS,822,0.822,0.822,660,6155,1554,2744,971,2120,480,2608,2508,436,213,1088,0,20236,1301,21537,0,0.13,0.13,8
3,N1,N1-1,Left,Jatrabari - Int.with Z1101 (Left) (Left),LRPS,0,0,LRPS,822,0.822,0.822,402,5842,1147,2842,526,2010,238,1851,2980,398,232,889,0,18236,1121,19357,0.13,0.4,0.27,4
4,N1,N1-1,Right,Jatrabari - Int.with Z1101 (Left) (Right),LRPS,0,0,LRPS,822,0.822,0.822,660,6155,1554,2744,971,2120,480,2608,2508,436,213,1088,0,20236,1301,21537,0.13,0.4,0.27,4
5,N1,N1-1,Left,Jatrabari - Int.with Z1101 (Left) (Left),LRPS,0,0,LRPS,822,0.822,0.822,402,5842,1147,2842,526,2010,238,1851,2980,398,232,889,0,18236,1121,19357,0.4,0.822,0.422,8
6,N1,N1-1,Right,Jatrabari - Int.with Z1101 (Left) (Right),LRPS,0,0,LRPS,822,0.822,0.822,660,6155,1554,2744,971,2120,480,2608,2508,436,213,1088,0,20236,1301,21537,0.4,0.822,0.422,8
7,N1,N1-2,Left,Int.with Z1101 - Signboard (Left) R111 (Left),LRPS,822,0.822,LRPS,4175,4.175,3.353,660,6155,1554,2744,971,2120,480,2608,2508,436,213,1088,0,20236,1301,21537,0.822,1.05,0.228,8
8,N1,N1-2,Right,Int.with Z1101 - Signboard (Left) R111 (Right),LRPS,822,0.822,LRPS,4175,4.175,3.353,402,5842,1147,2842,526,2010,238,1851,2980,398,232,889,0,18236,1121,19357,0.822,1.05,0.228,8
9,N1,N1-2,Left,Int.with Z1101 - Signboard (Left) R111 (Left),LRPS,822,0.822,LRPS,4175,4.175,3.353,660,6155,1554,2744,971,2120,480,2608,2508,436,213,1088,0,20236,1301,21537,1.05,4.175,3.125,5
10,N1,N1-2,Right,Int.with Z1101 - Signboard (Left) R111 (Right),LRPS,822,0.822,LRPS,4175,4.175,3.353,402,5842,1147,2842,526,2010,238,1851,2980,398,232,889,0,18236,1121,19357,1.05,4.175,3.125,5
11,N1,N1-3,Left,Signboard - Shimrail (Left)R110 (Left),LRPS,4175,4.175,LRPS,7181,7.181,3.006,91,2706,2184,2534,1773,1643,314,1690,2266,1087,75,1198,0,16288,1273,17561,4.175,5.1,0.925,5
12,N1,N1-3,Right,Signboard - Shimrail (Left)R110 (Right),LRPS,4175,4.175,LRPS,7181,7.181,3.006,85,2544,2053,2412,1688,1564,298,1609,2157,1035,72,1140,0,15445,1212,16657,4.175,5.1,0.925,5
13,N1,N1-3,Left,Signboard - Shimrail (Left)R110 (Left),LRPS,4175,4.175,LRPS,7181,7.181,3.006,91,2706,2184,2534,1773,1643,314,1690,2266,1087,75,1198,0,16288,1273,17561,5.1,6.89,1.79,5
14,N1,N1-3,Right,Signboard - Shimrail (Left)R110 (Right),LRPS,4175,4.175,LRPS,7181,7.181,3.006,85,2544,2053,2412,1688,1564,298,1609,2157,1035,72,1140,0,15445,1212,16657,5.1,6.89,1.79,5
15,N1,N1-3,Left,Signboard - Shimrail (Left)R110 (Left),LRPS,4175,4.175,LRPS,7181,7.181,3.006,91,2706,2184,2534,1773,1643,314,1690,2266,1087,75,1198,0,16288,1273,17561,6.89,7.181,0.291,8
16,N1,N1-3,Right,Signboard - Shimrail (Left)R110 (Right),LRPS,4175,4.175,LRPS,7181,7.181,3.006,85,2544,2053,2412,1688,1564,298,1609,2157,1035,72,1140,0,15445,1212,16657,6.89,7.181,0.291,8
17,N1,N1-4,Left,Shimrail  - Katchpur  (Left)N2 (Left),LRPS,7181,7.181,LRP009,260,8.763,1.582,174,2905,1360,2576,1356,1415,320,1579,3154,1162,211,1077,0,16001,1288,17289,7.181,7.9,0.719,8
18,N1,N1-4,Right,Shimrail  - Katchpur  (Left)N2 (Right),LRPS,7181,7.181,LRP009,260,8.763,1.582,153,2955,1566,2438,1456,1299,345,1948,2693,1143,517,1531,0,15996,2048,18044,7.181,7.9,0.719,8
19,N1,N1-4,Left,Shimrail  - Katchpur  (Left)N2 (Left),LRPS,7181,7.181,LRP009,260,8.763,1.582,174,2905,1360,2576,1356,1415,320,1579,3154,1162,211,1077,0,16001,1288,17289,7.9,8.763,0.863,4
20,N1,N1-4,Right,Shimrail  - Katchpur  (Left)N2 (Right),LRPS,7181,7.181,LRP009,260,8.763,1.582,153,2955,1566,2438,1456,1299,345,1948,2693,1143,517,1531,0,15996,2048,18044,7.9,8.763,0.863,4
21,N1,N1-5,Left,Katchpur - Madanpur (Left)N105 (Left),LRP009,260,8.763,LRP012,439,11.936,3.173,174,4965,3478,3296,2791,1751,249,1579,3154,1154,211,1077,0,22591,1288,23879,8.763,11.62,2.857,4
22,N1,N1-5,Right,Katchpur - Madanpur (Left)N105 (Right),LRP009,260,8.763,LRP012,439,11.936,3.173,153,4419,3221,2880,2408,2787,345,2105,3080,1143,517,1531,0,22541,2048,24589,8.763,11.62,2.857,4
23,N1,N1-5,Left,Katchpur - Madanpur (Left)N105 (Left),LRP009,260,8.763,LRP012,439,11.936,3.173,174,4965,3478,3296,2791,1751,249,1579,3154,1154,211,1077,0,22591,1288,23879,11.62,11.936,0.316,8
24,N1,N1-5,Right,Katchpur - Madanpur (Left)N105 (Right),LRP009,260,8.763,LRP012,439,11.936,3.173,153,4419,3221,2880,2408,2787,345,2105,3080,1143,517,1531,0,22541,2048,24589,11.62,11.936,0.316,8
25,N1,N1-6,Left,Madanpur - Langalband (Left)Z1061 (Left),LRP012,439,11.936,LRP013,3411,15.935,3.999,153,4419,3221,2880,2408,2787,345,2105,3080,1143,517,1531,0,22541,2048,24589,11.936,12.1,0.164,8
26,N1,N1-6,Right,Madanpur - Langalband (Left)Z1061 (Right),LRP012,439,11.936,LRP013,3411,15.935,3.999,174,4965,3478,3296,2791,1751,249,1579,3154,1154,211,1077,0,22591,1288,23879,11.936,12.1,0.164,8
