<<<<<<< HEAD
<<<<<<< HEAD
index,condition,constructionYear,lat,length,lon,lrp,road
0,A,2005,23.69873866,11.3,90.45886108,LRP001A,N1
1,A,2006,23.69466384,6.6,90.48777492,LRP004B,N1
2,C,1986,23.70505989,397,90.52321415,LRP008B,N1
3,A,-1,23.70505989,394.23,90.52321415,LRP008B,N1
4,B,1987,23.69640009,8,90.53509898,LRP010A,N1
5,A,1992,23.69439061,6.3,90.53757408,LRP010B,N1
6,A,1984,23.69430239,6.3,90.53770737,LRP010C,N1
7,A,1986,23.69236015,8.3,90.54091839,LRP011A,N1
8,B,1986,23.69091193,10.6,90.5454625,LRP011C,N1
9,A,1986,23.68841233,9.3,90.54855853,LRP012A,N1
10,A,1987,23.68831973,6.1,90.54864981,LRP012B,N1
11,A,2003,23.68558303,26.3,90.55120798,LRP013A,N1
12,A,2003,23.68558303,26.3,90.55120798,LRP013A,N1
13,A,-1,23.68558303,27.5,90.55120798,LRP013A,N1
14,A,-1,23.68536198,27.5,90.55135918,LRP013B,N1
15,A,2003,23.6778035,11.9,90.55581943,LRP014A,N1
16,B,2003,23.66330907,5.55,90.56385699,LRP016A,N1
17,B,1998,23.65442571,159.5,90.57673023,LRP017B,N1
18,C,-1,23.65442571,159.52,90.57673023,LRP017B,N1
19,UK,-1,23.6540556,27.41143316,90.5772771,LRP017C,N1
20,B,2002,23.65157057,20,90.58149439,LRP018A,N1
21,B,2002,23.65157057,20,90.58149439,LRP018A,N1
22,A,-1,23.65397226,20.5,90.57741042,LRP018A,N1
23,A,-1,23.65397226,20.45,90.57741042,LRP018B,N1
24,B,2003,23.6497544,24.5,90.58454901,LRP018C,N1
25,B,2003,23.6497544,24.5,90.58454901,LRP018C,N1
26,A,-1,23.6497544,25.5,90.58454901,LRP018C,N1
27,B,-1,23.6497544,25.5,90.58454901,LRP018D,N1
28,C,2001,23.64596859,40.5,90.58921198,LRP019A,N1
29,B,2001,23.64596859,40.5,90.58921198,LRP019A,N1
30,B,-1,23.64596859,40.4,90.58921198,LRP019A,N1
31,B,-1,23.64596859,40.33,90.58921198,LRP019B,N1
32,A,2001,23.63795437,6,90.5936674,LRP020A,N1
33,B,2003,23.63380522,10.4,90.59739409,LRP020B,N1
34,A,2000,23.62846685,89.2,90.60230157,LRP021C,N1
35,A,-1,23.62846685,86.92,90.60230157,LRP021C,N1
36,A,-1,23.62846685,89.75,90.60230157,LRP021D,N1
37,B,2002,23.61988322,5.5,90.60835289,LRP022A,N1
38,UK,-1,23.6204716,121.9697664,90.6079722,LRP022C,N1
39,A,2004,23.6176408,224.8,90.60955061,LRP023A,N1
40,B,2000,23.6176408,213.5,90.60955061,LRP023A,N1
41,B,-1,23.6176408,214.09,90.60955061,LRP023A,N1
42,B,-1,23.6176408,224.82,90.60955061,LRP023B,N1
43,A,2000,23.61358738,120.1,90.61090296,LRP023C,N1
44,B,2000,23.61358738,116.8,90.61090296,LRP023C,N1
45,A,-1,23.61358738,119.48,90.61090296,LRP023C,N1
46,A,-1,23.61358738,119.32,90.61090296,LRP023D,N1
47,C,1989,23.60275959,900,90.6155317,LRP024A,N1
48,A,-1,23.60275959,924.85,90.6155317,LRP024A,N1
49,A,1989,23.59298188,5.6,90.62796994,LRP026A,N1
50,A,1989,23.59080885,5.5,90.63023686,LRP026B,N1
51,A,1989,23.58631812,5.6,90.63450942,LRP027A,N1
52,A,2000,23.57798002,163.5,90.64191931,LRP028A,N1
53,A,-1,23.57798002,173.25,90.64191931,LRP028A,N1
54,A,-1,23.57798002,172.1,90.64191931,LRP028B,N1
55,A,2004,23.57163063,29,90.64541592,LRP029A,N1
56,A,2004,23.57163063,29,90.64541592,LRP029A,N1
57,A,-1,23.57163063,29.85,90.64541592,LRP029A,N1
58,A,-1,23.57163063,29.77,90.64541592,LRP029B,N1
59,A,1992,23.5660034,34.7,90.64862372,LRP030A,N1
60,UK,-1,23.5604167,35.62320504,90.6542222,LRP030C,N1
61,A,2004,23.55919103,26.3,90.65574757,LRP031A,N1
62,B,2004,23.55919103,26.3,90.65574757,LRP031A,N1
63,A,-1,23.55919103,27.4,90.65574757,LRP031A,N1
64,A,-1,23.55919103,27.4,90.65574757,LRP031A,N1
65,A,2003,23.55570829,29,90.65974142,LRP032A,N1
66,A,2003,23.55570829,29,90.65974142,LRP032A,N1
67,A,-1,23.55570829,29.85,90.65974142,LRP032A,N1
68,A,-1,23.55570829,29.83,90.65974142,LRP032B,N1
69,A,2004,23.55174219,28.9,90.66435388,LRP032D,N1
70,A,2004,23.55174219,28.9,90.66435388,LRP032D,N1
71,A,-1,23.55174219,29.87,90.66435388,LRP032D,N1
72,A,-1,23.55174219,29.9,90.66435388,LRP032E,N1
73,A,2002,23.54773774,9.1,90.66905541,LRP033A,N1
74,A,1992,23.54762464,5.2,90.66919207,LRP033B,N1
75,A,2000,23.54268543,72.49,90.67482921,LRP034A,N1
76,A,2000,23.54268543,59.2,90.67482921,LRP034A,N1
77,A,2000,23.54268543,70,90.67482921,LRP034A,N1
78,A,2000,23.54268543,59.83,90.67482921,LRP034B,N1
79,C,1993,23.53939102,5.1,90.67845779,LRP034C,N1
80,A,2000,23.53277519,9.5,90.68587011,LRP035A,N1
81,B,1998,23.53139966,24.5,90.68744893,LRP036A,N1
82,B,1997,23.53139966,24.5,90.68744893,LRP036A,N1
83,A,-1,23.53139966,25.45,90.68744893,LRP036A,N1
84,A,-1,23.53139966,25.45,90.68744893,LRP036B,N1
85,A,1998,23.53015196,8.4,90.68979518,LRP036C,N1
86,C,1995,23.53038447,1408.8,90.70244027,LRP037A,N1
87,A,-1,23.53038447,1408.8,90.70244027,LRP037A,N1
88,UK,-1,23.5315271,26.23620869,90.7173604,LRP038D,N1
89,C,1976,23.5324186,21.8,90.72428072,LRP040B,N1
90,C,-1,23.5324186,23.1,90.72428072,LRP040B,N1
91,B,1984,23.53175878,6,90.72917801,LRP040C,N1
92,UK,-1,23.5293882,16.9932,90.7514167,LRP042A,N1
93,C,1992,23.52980506,16.5,90.75825325,LRP043A,N1
94,C,-1,23.52980506,16.5,90.75825325,LRP043A,N1
95,C,1978,23.53076553,3.9,90.78007973,LRP046A,N1
96,C,1988,23.53086834,6.5,90.79180752,LRP047A,N1
97,UK,-1,23.5308882,22.87350408,90.8041389,LRP048A,N1
98,C,1989,23.53182348,15.9,90.81101551,LRP049A,N1
99,A,-1,23.53182348,15.9,90.81101551,LRP049A,N1
100,UK,-1,23.5346663,15.44429617,90.8249716,LRP050A,N1
101,A,1988,23.53297433,12.2,90.83097748,LRP051A,N1
102,C,1993,23.52291667,4.5,90.84421861,LRP053A,N1
103,B,1985,23.51008776,28.9,90.8757204,LRP056A,N1
104,C,-1,23.51008776,28.9,90.8757204,LRP056A,N1
105,B,1992,23.50600243,5.9,90.90217454,LRP059A,N1
106,B,1988,23.50561314,3,90.92146602,LRP061A,N1
107,B,1989,23.50240778,6,90.94324189,LRP064A,N1
108,A,1992,23.50135519,3,90.94738441,LRP064C,N1
109,B,1987,23.49589631,4.6,90.97157725,LRP067A,N1
110,A,1991,23.49327281,4.5,90.98872004,LRP068A,N1
111,C,1986,23.48688059,23.1,91.01756669,LRP072A,N1
112,C,1986,23.48688059,22.55,91.01756669,LRP072A,N1
113,B,1999,23.48178732,4.6,91.04633489,LRP075A,N1
114,B,1991,23.48174983,4.6,91.05635497,LRP076A,N1
115,A,1999,23.48061309,1.5,91.06740977,LRP077A,N1
116,C,1993,23.47767229,1,91.08474064,LRP079A,N1
117,B,1988,23.4781159,3,91.10703321,LRP081A,N1
118,A,1993,23.47940839,1.4,91.12389208,LRP083A,N1
119,A,1985,23.47954492,2.9,91.12904714,LRP083B,N1
120,A,1988,23.44363396,23.4,91.14936682,LRP088A,N1
121,C,1988,23.44363396,22.85,91.14936682,LRP088A,N1
122,UK,-1,23.448833,24.37306102,91.1471386,LRP089A,N1
123,B,1980,23.42124877,35.9,91.16789434,LRP092A,N1
124,C,-1,23.42124877,35.97,91.16789434,LRP092A,N1
125,UK,-1,23.4235827,36.24956032,91.1629722,LRP093A,N1
126,C,1990,23.41193242,27.35,91.19390298,LRP094A,N1
127,B,1990,23.41193242,27.9,91.19390298,LRP094A,N1
128,UK,-1,23.4131111,26.23359983,91.1846663,LRP095A,N1
129,A,1995,23.39765182,27.9,91.22342213,LRP098A,N1
130,C,1995,23.39765182,27.35,91.22342213,LRP098A,N1
131,UK,-1,23.40375,27.47258557,91.2176382,LRP099A,N1
132,A,1990,23.37136478,30.4,91.24501754,LRP101A,N1
133,A,-1,23.37136478,30.48,91.24501754,LRP101A,N1
134,UK,-1,23.3779716,29.96062877,91.2403608,LRP102A,N1
135,C,1984,23.35216368,22.8,91.25729107,LRP104A,N1
136,C,-1,23.35216368,22.88,91.25729107,LRP104A,N1
137,A,1974,23.34267147,14.3,91.26448564,LRP105A,N1
138,A,1974,23.33014623,24,91.27487928,LRP107A,N1
139,UK,-1,23.3360274,42.42843398,91.2700549,LRP108A,N1
140,A,1990,23.31806969,9.2,91.28308673,LRP109A,N1
141,B,1979,23.30836127,19.2,91.2865787,LRP110A,N1
142,B,1984,23.30343065,2.6,91.28897704,LRP110C,N1
143,A,1986,23.29796753,3.2,91.29101414,LRP111A,N1
144,A,1986,23.28970664,13.4,91.29295847,LRP112A,N1
145,B,1984,23.28219493,4.6,91.29666551,LRP113A,N1
146,B,1992,23.27301895,6.3,91.30296619,LRP114A,N1
147,B,1984,23.26183609,3,91.30702174,LRP116A,N1
148,B,1984,23.25941665,3,91.3073611,LRP116B,N1
149,B,1991,23.25764298,3.6,91.30761565,LRP116C,N1
150,B,1984,23.25274634,4.5,91.30839264,LRP117A,N1
151,B,1992,23.24439151,2.5,91.31140323,LRP118A,N1
152,B,1988,23.24290406,19.2,91.31197395,LRP118B,N1
153,A,1984,23.23979203,2.6,91.31257409,LRP118D,N1
154,A,1990,23.23607595,2.5,91.3129902,LRP119A,N1
155,B,1988,23.22891959,3.1,91.31342207,LRP119B,N1
156,B,1984,23.22591845,2.6,91.31356972,LRP120A,N1
157,A,1984,23.2220339,6,91.31370059,LRP120B,N1
158,B,1990,23.21319557,14.3,91.31534974,LRP121B,N1
159,A,1984,23.20503863,6.1,91.31631673,LRP122A,N1
160,A,1984,23.1961888,6.1,91.31767051,LRP123A,N1
161,C,1986,23.18743503,6.1,91.32090513,LRP124A,N1
162,B,1978,23.18179581,9.5,91.32087875,LRP125A,N1
163,B,1984,23.17262723,3.1,91.32057746,LRP126A,N1
164,A,1992,23.16351387,9.5,91.32158895,LRP127A,N1
