id,road,startChainage,endChainage,width,nrLanes
1,N1,0,0.13,29.7,8
2,N1,0.13,0.4,14,4
3,N1,0.4,1.05,28.3,8
4,N1,1.05,5.1,16.5,5
5,N1,5.1,6.2,16.2,5
6,N1,6.2,6.89,16,5
7,N1,6.89,7.33,26,8
8,N1,7.33,7.9,28,8
9,N1,7.9,8.9,14.9,4
10,N1,8.9,9.8,15,4
11,N1,9.8,10.45,14.6,4
12,N1,10.45,11.62,14.9,4
13,N1,11.62,12.1,28,8
14,N1,12.1,12.4,10.3,3
15,N1,12.4,17.22,14.6,4
16,N1,17.22,19.9,14.6,4
17,N1,19.9,20.2,14.6,4
18,N1,20.2,22.33,14.8,4
19,N1,22.33,22.8,46.9,6
20,N1,22.8,25.33,14.4,4
21,N1,25.33,27.2,14.8,4
22,N1,27.2,27.7,14.8,4
23,N1,27.7,31.36,15,4
24,N1,31.36,36.271,14.5,4
25,N1,36.271,37.607,15.3,5
26,N1,37.607,41.761,14.5,4
27,N1,41.761,45.819,18.9,6
28,N1,45.819,54.029,18.9,6
29,N1,54.029,229.046,18.8,6
30,N1,229.046,230.606,25.7,8
31,N1,230.606,232.754,18.6,6
32,N1,241.063,242.076,7.1,2
33,N1,242.076,242.556,7.2,2
34,N1,242.556,245.156,15,4
35,N1,245.156,246.856,7.2,2
36,N1,246.856,247.816,8,2
37,N1,247.816,254.897,7,2
38,N1,254.897,259.599,7,2
39,N1,259.599,260.499,7,2
40,N1,260.499,261.91,8.2,2
41,N1,261.91,263.41,7.3,2
42,N1,263.41,264.11,7.3,2
43,N1,264.11,267.25,8.2,2
44,N1,267.25,270.205,7.2,2
45,N1,270.205,272.405,8.2,2
46,N1,272.405,281.139,7.2,2
47,N1,281.139,286.489,8,2
48,N1,286.489,287.354,7,2
49,N1,287.354,297.229,7.2,2
50,N1,297.229,297.902,7.1,2
51,N1,297.902,328.948,7.1,2
52,N1,328.948,329.611,7.2,2
53,N1,329.611,380.568,6.8,2
54,N1,380.568,406.49,5.8,2
55,N1,406.49,406.994,7,2
56,N1,406.994,411.091,5.9,2
57,N1,411.091,416.136,5.9,2
58,N1,416.136,423.239,5.9,2
59,N1,423.239,429.682,5.8,2
60,N1,429.682,437.968,5.8,2
61,N1,437.968,444.511,5.7,2
62,N1,444.511,451.519,5.6,2
63,N1,451.519,459.326,5.7,2
64,N1,459.326,462.254,6.3,2
